scenario,data_type,file,original_size_bytes,algorithm,avg_time_ms,compressed_size_bytes,compression_ratio,space_savings_percent,verify
size,english,english_10kb.txt,10240,rle,0.0000,18156,0.564001,-77.3047,PASS
size,english,english_10kb.txt,10240,huff,0.3333,6839,1.49729,33.2129,PASS
size,english,english_10kb.txt,10240,lzw,5.0000,7622,1.34348,25.5664,PASS
size,english,english_100kb.txt,102400,rle,2.0000,190380,0.537872,-85.918,PASS
size,english,english_100kb.txt,102400,huff,4.0000,60066,1.70479,41.3418,PASS
size,english,english_100kb.txt,102400,lzw,50.0000,50284,2.03643,50.8945,PASS
size,english,english_500kb.txt,512000,rle,11.3333,993190,0.515511,-93.9824,PASS
size,english,english_500kb.txt,512000,huff,21.0000,296479,1.72694,42.0939,PASS
size,english,english_500kb.txt,512000,lzw,233.6667,198998,2.57289,61.1332,PASS
size,english,english_1024kb.txt,1048576,rle,23.6667,2044490,0.512879,-94.9778,PASS
size,english,english_1024kb.txt,1048576,huff,41.3333,604155,1.73561,42.3833,PASS
size,english,english_1024kb.txt,1048576,lzw,442.6667,403378,2.59949,61.5309,PASS
size,english,english_5120kb.txt,5242880,rle,112.0000,10260300,0.510987,-95.6997,PASS
size,english,english_5120kb.txt,5242880,huff,203.3333,3040889,1.72413,41.9996,PASS
size,english,english_5120kb.txt,5242880,lzw,2138.6667,2125712,2.46641,59.4553,PASS
size,english,english_10240kb.txt,10485760,rle,222.3333,20525624,0.510862,-95.7476,PASS
size,english,english_10240kb.txt,10485760,huff,402.3333,6079762,1.7247,42.0189,PASS
size,english,english_10240kb.txt,10485760,lzw,4155.6667,4282606,2.44845,59.1579,PASS
entropy,repetitive,repetitive_1024kb.bin,1048576,rle,6.0000,419432,2.49999,59.9998,PASS
entropy,repetitive,repetitive_1024kb.bin,1048576,huff,18.0000,315605,3.32243,69.9016,PASS
entropy,repetitive,repetitive_1024kb.bin,1048576,lzw,352.6667,14398,72.8279,98.6269,PASS
entropy,english,english_1024kb.txt,1048576,rle,23.0000,2044490,0.512879,-94.9778,PASS
entropy,english,english_1024kb.txt,1048576,huff,43.3333,604155,1.73561,42.3833,PASS
entropy,english,english_1024kb.txt,1048576,lzw,508.0000,403378,2.59949,61.5309,PASS
entropy,random,random_1024kb.bin,1048576,rle,23.0000,2089000,0.501951,-99.2226,PASS
entropy,random,random_1024kb.bin,1048576,huff,64.3333,1049608,0.999017,-0.0984192,PASS
entropy,random,random_1024kb.bin,1048576,lzw,666.6667,1307020,0.802265,-24.6471,PASS
